id,case_no,time,shift,date,location,type
0,B11-000726,11:30am,I,March27,2011, 100 Block of Westscott Dr, BURGLARY-3RD
1,B11-000726,11:30am,I,I, 100 Block of Westscott Dr, THEFT 2ND DEGREE
2,B11-000727,12:30pm,I,March27,2011, 100 Block of Wood Creek Dr, BURGLARY-2ND
3,B11-000727,12:30pm,I,I, 100 Block of Wood Creek Dr, THEFT 2ND DEGREE
4,B11-000728,3:05pm,II,March27,2011, City Of Madison, 365 Shelton Rd, CERTAIN PERSONS FORBIDDEN TO POSSESS PISTOL
5,B11-000728,3:05pm,II,II, City Of Madison, 365 Shelton Rd, DISCHARGING FIREARM IN CITY LIMITS
6,B11-000729,7:20pm,II,March27,2011, 200 Block of Brockton Dr, DOMESTIC VIOLENCE 3RD
7,B11-000731,7:58am,I,March28,2011, 7000 Block of Old Madison Pike, HARASSING COMMUNICATIONS
8,B11-000732,9:45am,I,March28,2011, Madison Bowling Center Inc, 8661 Highway 72 W, THEFT 3RD DEGREE
9,B11-000732,9:45am,I,I, Madison Bowling Center Inc, 8661 Highway 72 W, CRIMINAL MISCHIEF-3RD
10,B11-000733,10:30am,I,March28,2011, 1000 Block of Liberty Dr Madison, BURGLARY-3RD
11,B11-000733,10:30am,I,I, 1000 Block of Liberty Dr Madison, THEFT 2ND DEGREE
12,B11-000734,1:30pm,I,March28,2011, Waverly Place Apartments, 7900 Old Madison Pike Madison, CRIMINAL TRESPASS
13,B11-000736,3:15pm,II,March28,2011, 100 Block of Carmine Cir Madison, BURGLARY-3RD
14,B11-000736,3:15pm,II,II, 100 Block of Carmine Cir Madison, THEFT 3RD DEGREE
15,B11-000737,6:45pm,II,March28,2011, 200 Block of Eastview Dr, BURGLARY-3RD
16,B11-000737,6:45pm,II,II, 200 Block of Eastview Dr, THEFT 2ND DEGREE
17,B11-000738,5:45pm,II,March28,2011, 5000 Block of Wall Triana Hwy, SIMPLE ASSAULT
18,B11-000740,2:42am,III,March29,2011, 8000 Block of Highway 72 W, HARASSMENT
19,B11-000743,9:15am,I,March29,2011, 200 Block of Dock Murphy Dr, HARASSMENT
20,B11-000746,12:10pm,I,March29,2011, 100 Block of Liberty Dr, BURGLARY-3RD
21,B11-000746,12:10pm,I,I, 100 Block of Liberty Dr, THEFT 2ND DEGREE
22,B11-000747,3:25pm,II,March29,2011, 100 Block of Royal Dr Madison, FORGERY 2ND
23,B11-000747,3:25pm,II,II, 100 Block of Royal Dr Madison, THEFT 3RD DEGREE
24,B11-000748,4:00pm,II,March29,2011, 300 Block of Hughes Rd Madison, SIMPLE ASSAULT
25,B11-000750,5:41pm,II,March29,2011, 2000 Block of Flagstone Dr Madison, THEFT 3RD DEGREE
26,B11-000752,10:05pm,III,March29,2011, 100 Block of Shelton Rd Madison, DOMESTIC VIOLENCE 3RD
27,B11-000753,12:50am,III,March30,2011, 100 Block of Shelton Rd Madison, DOMESTIC VIOLENCE 3RD
28,B11-000755,12:50am,III,March30,2011, 100 Block of Shelton Rd Madison, HARASSING COMMUNICATIONS
29,B11-000757,6:35am,I,March30,2011, 300 Block of Gillespie Rd, CRIMINAL TRESPASS
30,B11-000758,6:38am,I,March30,2011, 2000 Block of Flagstone Dr, BREAKING AND ENTERING A VEHICLE
31,B11-000759,8:30am,I,March30,2011, 1000 Block of Colonial Lake Dr Madison, BREAKING AND ENTERING A VEHICLE
32,B11-000760,9:25am,I,March30,2011, 100 Block of Westminister Way, HARASSING COMMUNICATIONS
33,B11-000761,11:40am,I,March30,2011, Shelton Park Apartments, 190 Shelton Rd Madison, FAIL TO REGISTER/OBTAIN LICENSE FOR ANIMAL
34,B11-000761,11:40am,I,I, Shelton Park Apartments, 190 Shelton Rd Madison, OTHER
35,B11-000762,11:33am,I,March30,2011, 200 Block of Kyser Blvd Madison, UNLAWFUL BREAKING AND ENTERING A VEHICLE
36,B11-000763,12:00pm,I,March30,2011, Cb&S Bank, 8018 Highway 72 W, THEFT BY DECEPTION
37,B11-000764,1:25pm,I,March30,2011, 100 Block of Maximillion Dr, OTHER
38,B11-000766,5:35pm,II,March30,2011, 300 Block of Gillespie Rd Madison, THEFT 3RD DEGREE
39,B11-000766,5:35pm,II,II, 300 Block of Gillespie Rd Madison, BURGLARY-3RD
40,B11-000767,5:40pm,II,March30,2011, 30000 Block of Hardiman Rd, BURGLARY-3RD
41,B11-000767,5:40pm,II,II, 30000 Block of Hardiman Rd, THEFT 2ND DEGREE
42,B11-000768,7:00pm,II,March30,2011, 100 Block of Meghan Ln, FORGERY 2ND
43,B11-000768,7:00pm,II,II, 100 Block of Meghan Ln, THEFT 3RD DEGREE
44,B11-000770,12:41am,III,March31,2011, City Of Madison, Madison Blvd / Sullivan St, CARRYING CONCEALED WEAPON
45,B11-000772,8:00am,I,March31,2011, 1000 Block of Nolan Blvd, THEFT 2ND DEGREE
46,B11-000774,9:30am,I,March31,2011, area of Old Madison Pk Btw Hughes / Sunset Madison, HARASSMENT
47,B11-000775,9:30am,I,March31,2011, 1000 Block of Hughes Rd, SIMPLE ASSAULT
48,B11-000777,4:10pm,II,March31,2011, City Of Madison, 137 Manningham Dr Madison, DUTY TO STOP AND REMAIN AT SCENE
49,B11-000778,7:00pm,II,March31,2011, Ruby Tuesday, 110 Tom Thrasher Ln, THEFT OF SERVICES-3
50,B11-000779,6:50pm,II,March31,2011, 200 Block of Healey Dr Madison, HARASSING COMMUNICATIONS
51,B11-000784,8:45am,I,April01,2011, 200 Block of De Jan Rd, BURGLARY-2ND
52,B11-000784,8:45am,I,I, 200 Block of De Jan Rd, THEFT 2ND DEGREE
53,B11-000785,2:10pm,II,April01,2011, 8000 Block of Old Madison Pike Madison, HARASSMENT
54,B11-000786,1:47pm,I,April01,2011, Belmont Place Club House, 80 Belmont Pl, CRIMINAL MISCHIEF-3RD
55,B11-000787,3:15pm,II,April01,2011, Federal Square Suites, 8781 Madison Blvd, THEFT OF SERVICES-3
56,B11-000789,3:00pm,II,April01,2011, City Of Madison, Sullivan St @ Front St Madison, GIVING FALSE NAME OR ADDRESS TO LAW ENFORCEMENT OFFICER
57,B11-000797,3:20am,III,April03,2011, Babies, Etc. Ob/Gyn Pc, 235 Portal Ln, DUTY UPON STRIKING A FIXED OBJECT
58,B11-000798,7:30am,I,April03,2011, Greenway Homes, 116 Grand Vista Dr, CRIMINAL MISCHIEF-2ND
59,B11-000799,8:25am,I,April03,2011, 200 Block of Goldenrod Ln, UNAUTHORIZED USE OF AUTO
