id%case_no%time%shift%date%location%latitude%longitude%incident_type
0%B11-000726%11:30am%I%March27,2011%100 Block of Westscott Dr Madison AL%34.6970717%-86.7245209%BURGLARY-3RD
1%B11-000726%11:30am%I%March27,2011%100 Block of Westscott Dr Madison AL%34.6970717%-86.7245209%THEFT 2ND DEGREE
2%B11-000727%12:30pm%I%March27,2011%100 Block of Wood Creek Dr Madison AL%34.741697%-86.749189%BURGLARY-2ND
3%B11-000727%12:30pm%I%March27,2011%100 Block of Wood Creek Dr Madison AL%34.741697%-86.749189%THEFT 2ND DEGREE
4%B11-000728%3:05pm%II%March27,2011%City Of Madison, 365 Shelton Rd Madison AL%34.6953754%-86.7240376%CERTAIN PERSONS FORBIDDEN TO POSSESS PISTOL
5%B11-000728%3:05pm%II%March27,2011%City Of Madison, 365 Shelton Rd Madison AL%34.6953754%-86.7240376%DISCHARGING FIREARM IN CITY LIMITS
6%B11-000729%7:20pm%II%March27,2011%200 Block of Brockton Dr Madison AL%34.686693%-86.7934244%DOMESTIC VIOLENCE 3RD
7%B11-000731%7:58am%I%March28,2011%7000 Block of Old Madison Pike Madison AL%34.7134374%-86.6811896%HARASSING COMMUNICATIONS
8%B11-000732%9:45am%I%March28,2011%Madison Bowling Center Inc, 8661 Highway 72 W Madison AL%34.7467214%-86.7760784%THEFT 3RD DEGREE
9%B11-000732%9:45am%I%March28,2011%Madison Bowling Center Inc, 8661 Highway 72 W Madison AL%34.7467214%-86.7760784%CRIMINAL MISCHIEF-3RD
10%B11-000733%10:30am%I%March28,2011%1000 Block of Liberty Dr Madison Madison AL%34.7234837%-86.7540494%BURGLARY-3RD
11%B11-000733%10:30am%I%March28,2011%1000 Block of Liberty Dr Madison Madison AL%34.7234837%-86.7540494%THEFT 2ND DEGREE
12%B11-000734%1:30pm%I%March28,2011%Waverly Place Apartments, 7900 Old Madison Pike Madison Madison AL%34.7074224%-86.7183015%CRIMINAL TRESPASS
13%B11-000736%3:15pm%II%March28,2011%100 Block of Carmine Cir Madison Madison AL%34.727283%-86.750511%BURGLARY-3RD
14%B11-000736%3:15pm%II%March28,2011%100 Block of Carmine Cir Madison Madison AL%34.727283%-86.750511%THEFT 3RD DEGREE
15%B11-000737%6:45pm%II%March28,2011%200 Block of Eastview Dr Madison AL%34.720896%-86.7152634%BURGLARY-3RD
16%B11-000737%6:45pm%II%March28,2011%200 Block of Eastview Dr Madison AL%34.720896%-86.7152634%THEFT 2ND DEGREE
17%B11-000738%5:45pm%II%March28,2011%5000 Block of Wall Triana Hwy Madison AL%34.7231837%-86.7504301%SIMPLE ASSAULT
18%B11-000740%2:42am%III%March29,2011%8000 Block of Highway 72 W Madison AL%34.7523886%-86.749341%HARASSMENT
19%B11-000743%9:15am%I%March29,2011%200 Block of Dock Murphy Dr Madison AL%34.7326269%-86.7834033%HARASSMENT
20%B11-000746%12:10pm%I%March29,2011%100 Block of Liberty Dr Madison AL%34.7197729%-86.7527188%BURGLARY-3RD
21%B11-000746%12:10pm%I%March29,2011%100 Block of Liberty Dr Madison AL%34.7197729%-86.7527188%THEFT 2ND DEGREE
22%B11-000747%3:25pm%II%March29,2011%100 Block of Royal Dr Madison Madison AL%34.684266%-86.752033%FORGERY 2ND
23%B11-000747%3:25pm%II%March29,2011%100 Block of Royal Dr Madison Madison AL%34.684266%-86.752033%THEFT 3RD DEGREE
24%B11-000748%4:00pm%II%March29,2011%300 Block of Hughes Rd Madison Madison AL%34.707823%-86.743411%SIMPLE ASSAULT
25%B11-000750%5:41pm%II%March29,2011%2000 Block of Flagstone Dr Madison Madison AL%34.6922419%-86.7213326%THEFT 3RD DEGREE
26%B11-000752%10:05pm%III%March29,2011%100 Block of Shelton Rd Madison Madison AL%34.6930512%-86.7159831%DOMESTIC VIOLENCE 3RD
27%B11-000753%12:50am%III%March30,2011%100 Block of Shelton Rd Madison Madison AL%34.6930512%-86.7159831%DOMESTIC VIOLENCE 3RD
28%B11-000755%12:50am%III%March30,2011%100 Block of Shelton Rd Madison Madison AL%34.6930512%-86.7159831%HARASSING COMMUNICATIONS
29%B11-000757%6:35am%I%March30,2011%300 Block of Gillespie Rd Madison AL%34.7287606%-86.7502008%CRIMINAL TRESPASS
30%B11-000758%6:38am%I%March30,2011%2000 Block of Flagstone Dr Madison AL%34.6922419%-86.7213326%BREAKING AND ENTERING A VEHICLE
31%B11-000759%8:30am%I%March30,2011%1000 Block of Colonial Lake Dr Madison Madison AL%34.6900182%-86.731688%BREAKING AND ENTERING A VEHICLE
32%B11-000760%9:25am%I%March30,2011%100 Block of Westminister Way Madison AL%34.699791%-86.752706%HARASSING COMMUNICATIONS
33%B11-000761%11:40am%I%March30,2011%Shelton Park Apartments, 190 Shelton Rd Madison Madison AL%34.69598%-86.717751%FAIL TO REGISTER/OBTAIN LICENSE FOR ANIMAL
34%B11-000761%11:40am%I%March30,2011%Shelton Park Apartments, 190 Shelton Rd Madison Madison AL%34.69598%-86.717751%OTHER
35%B11-000762%11:33am%I%March30,2011%200 Block of Kyser Blvd Madison Madison AL%34.6889588%-86.7573764%UNLAWFUL BREAKING AND ENTERING A VEHICLE
36%B11-000763%12:00pm%I%March30,2011%Cb&S Bank, 8018 Highway 72 W Madison AL%34.6992579%-86.7483318%THEFT BY DECEPTION
37%B11-000764%1:25pm%I%March30,2011%100 Block of Maximillion Dr Madison AL%34.735827%-86.73785%OTHER
38%B11-000766%5:35pm%II%March30,2011%300 Block of Gillespie Rd Madison Madison AL%34.7287606%-86.7502008%THEFT 3RD DEGREE
39%B11-000766%5:35pm%II%March30,2011%300 Block of Gillespie Rd Madison Madison AL%34.7287606%-86.7502008%BURGLARY-3RD
40%B11-000767%5:40pm%II%March30,2011%30000 Block of Hardiman Rd Madison AL%34.6969178%-86.7997559%BURGLARY-3RD
