,Address,Case,DateTime,File,Incident,NumInc,Shift
0,100 Block of Shelton Rd Madison,B11-001782,2011-07-17 04:22:00,1143,DOMESTIC VIOLENCE 3RD,1,III
1,9000 Block of Madison Blvd Madison,B11-001783,2011-07-17 12:45:00,1143,DUTY TO STOP AND REMAIN AT SCENE,1,I
2,area of Cherry Dr Madison / Highland Dr,B11-001784,2011-07-17 13:45:00,1143,DOMESTIC VIOLENCE 2ND,1,I
3,100 Block of Park Square Lane Madison,B11-001785,2011-07-17 20:00:00,1143,UNLAWFUL BREAKING AND ENTERING A VEHICLE (NO THEFT),2,II
4,100 Block of Park Square Lane Madison,B11-001785,2011-07-17 20:00:00,1143,THEFT 3RD DEGREE,2,II
5,100 Block of Coatbridge Ln,B11-001786,2011-07-17 19:36:00,1143,HARASSING COMMUNICATIONS,1,II
6,100 Block of Village Ln Madison,B11-001787,2011-07-19 00:50:00,1143,CRIMINAL MISCHIEF-3RD,1,III
7,100 Block of Village Ln,B11-001788,2011-07-18 00:50:00,1143,CRIMINAL MISCHIEF-3RD,1,III
8,100 Block of Dawn Dr,B11-001789,2011-07-18 04:00:00,1143,CRIMINAL LITTERING,1,III
9,area of Dawn Dr Madison,B11-001790,2011-07-18 08:40:00,1143,BREAKING AND ENTERING A VEHICLE,3,I
10,area of Dawn Dr Madison,B11-001790,2011-07-18 08:40:00,1143,BREAKING AND ENTERING A VEHICLE,3,I
11,area of Dawn Dr Madison,B11-001790,2011-07-18 08:40:00,1143,BREAKING AND ENTERING A VEHICLE,3,I
12,8000 Block of Madison Blvd,B11-001791,2011-07-18 09:30:00,1143,BREAKING AND ENTERING A VEHICLE,1,I
13,300 Block of Gooch Ln,B11-001792,2011-07-18 11:30:00,1143,BURGLARY-3RD,2,I
14,300 Block of Gooch Ln,B11-001792,2011-07-18 11:30:00,1143,THEFT 1ST DEGREE,2,I
15,100 Block of Park Square Ln,B11-001795,2011-07-18 17:01:00,1143,THEFT 3RD DEGREE,1,II
